"Date","Price","Open","High","Low","Vol.","Change.."
2018-02-20,228.7,222.09,251.12,221.66,"3.68M","2.97%"
2018-02-19,222.1,214.01,226.46,213.27,"1.66M","3.87%"
2018-02-18,213.82,228.75,231.33,211.39,"2.24M","-6.40%"
2018-02-17,228.44,228.14,232.49,223.86,"1.65M","0.10%"
2018-02-16,228.22,221.31,234.72,209.85,"2.68M","3.11%"
2018-02-15,221.34,212.02,236.51,207.04,"4.16M","4.36%"
2018-02-14,212.08,159.26,217.09,159.26,"5.19M","33.16%"
2018-02-13,159.27,161.51,162.21,152.87,"1.23M","-1.36%"
2018-02-12,161.46,148.91,163.3,148.91,"1.44M","8.50%"
2018-02-11,148.81,155.02,155.81,141.68,"1.42M","-4.01%"
2018-02-10,155.03,163.96,169.12,148.09,"1.74M","-5.47%"
2018-02-09,164,148.93,164.18,142.12,"1.45M","10.14%"
2018-02-08,148.9,137.97,150.38,137.91,"1.51M","7.91%"
2018-02-07,137.99,142.02,158.5,130.96,"2.47M","-2.97%"
2018-02-06,142.22,125.19,146.86,106.39,"4.82M","13.51%"
2018-02-05,125.29,147.95,154.09,116.37,"3.81M","-15.28%"
2018-02-04,147.89,160.96,174.55,137.77,"3.45M","-8.13%"
2018-02-03,160.97,131.58,166.18,121.01,"2.20M","22.30%"
2018-02-02,131.62,142.5,142.95,104.91,"3.42M","-7.65%"
2018-02-01,142.53,163.88,166.25,130.04,"2.01M","-13.03%"
2018-01-31,163.88,166.36,167.22,157.32,"1.05M","-1.49%"
2018-01-30,166.37,181.3,181.37,161.05,"1.22M","-7.35%"
2018-01-29,179.57,191.12,191.12,175.56,"908.18K","-6.04%"
2018-01-28,191.12,179.65,192.47,178.65,"984.83K","6.38%"
2018-01-27,179.65,175.71,182,173.96,"748.73K","2.24%"
2018-01-26,175.71,178.86,181.71,166.15,"1.17M","-1.76%"
2018-01-25,178.86,180.59,184.78,175,"998.43K","-0.96%"
2018-01-24,180.6,178.27,184.69,172.23,"1.13M","1.31%"
2018-01-23,178.27,179.42,186.03,165.01,"1.54M","-0.64%"
2018-01-22,179.42,191.25,194.7,165.5,"1.97M","-6.19%"
2018-01-21,191.25,210.91,211.09,183.12,"1.51M","-9.32%"
2018-01-20,210.91,192.5,214.88,192.5,"1.58M","9.56%"
2018-01-19,192.5,192.57,203,187.1,"1.75M","-0.05%"
2018-01-18,192.6,189,211,176.31,"3.57M","1.90%"
2018-01-17,189,191.13,214.89,135,"7.26M","-1.11%"
2018-01-16,191.13,232.51,233.21,147,"6.11M","-17.80%"
2018-01-15,232.51,237.89,244.2,231.11,"924.21K","-2.26%"
2018-01-14,237.89,258.44,267.98,233.82,"1.65M","-7.80%"
2018-01-13,258.02,235.52,263,235.51,"1.67M","9.55%"
2018-01-12,235.52,226.9,241.97,220.52,"1.43M","3.79%"
2018-01-11,226.91,249.01,253,220,"2.65M","-8.69%"
2018-01-10,248.5,246.9,249.67,232.52,"1.96M","0.69%"
2018-01-09,246.79,255.21,258.75,238.75,"1.74M","-3.35%"
2018-01-08,255.35,272.08,273.67,231.64,"2.54M","-6.14%"
2018-01-07,272.06,279.42,286.95,265.24,"1.53M","-2.63%"
2018-01-06,279.42,246.23,304,245,"3.43M","13.48%"
2018-01-05,246.23,238.91,251.97,236.24,"2.03M","3.06%"
2018-01-04,238.91,244.99,245,226.79,"2.15M","-2.48%"
2018-01-03,244.99,253.31,258.54,240.72,"1.86M","-3.28%"
2018-01-02,253.31,225.22,262,225.21,"2.84M","12.47%"
2018-01-01,225.22,227.17,232.29,217.66,"1.06M","-0.86%"
2017-12-31,227.17,216.03,237.88,210,"1.83M","5.16%"
2017-12-30,216.03,245.79,246,206,"2.55M","-12.11%"
2017-12-29,245.79,251.18,259.5,236.5,"1.91M","-2.15%"
2017-12-28,251.18,264.4,266,223.59,"3.02M","-5.00%"
2017-12-27,264.4,280.1,286.46,252.81,"1.93M","-5.61%"
2017-12-26,280.1,273.52,286.99,273.17,"1.52M","2.41%"
2017-12-25,273.52,278.81,287.4,271.12,"1.25M","-1.90%"
2017-12-24,278.81,293.03,295.99,254,"2.86M","-4.85%"
2017-12-23,293.03,267.79,321.85,261,"3.90M","9.43%"
2017-12-22,267.79,311,311.89,144,"13.08M","-13.89%"
2017-12-21,311,305.59,327.99,291.01,"2.89M","1.77%"
2017-12-20,305.59,350.79,350.79,275,"6.07M","-12.89%"
2017-12-19,350.79,359.4,380,324.67,"5.79M","-2.40%"
2017-12-18,359.4,324.74,366.9,305.77,"4.67M","10.67%"
2017-12-17,324.74,306.86,334.85,303.24,"3.68M","5.83%"
2017-12-16,306.86,303.79,314.97,280,"3.24M","1.01%"
2017-12-15,303.79,283.8,322.97,252.22,"6.99M","7.04%"
