Date;AQ232683
25.11.2020;134,379
24.11.2020;133,922
23.11.2020;134,685
20.11.2020;136,006
19.11.2020;135,4
18.11.2020;132,97
17.11.2020;133,183
16.11.2020;131,565
13.11.2020;131,871
12.11.2020;132,189
10.11.2020;129,81
09.11.2020;130,681
06.11.2020;132,537
05.11.2020;134,253
04.11.2020;132,633
03.11.2020;129,631
02.11.2020;132,027
30.10.2020;130,097
29.10.2020;132,114
28.10.2020;133,311
27.10.2020;133,294
26.10.2020;132,211
23.10.2020;131,017
22.10.2020;130,033
21.10.2020;131,008
20.10.2020;132,212
19.10.2020;132,997
16.10.2020;134,795
15.10.2020;134,418
14.10.2020;134,499
13.10.2020;134,251
09.10.2020;132,926
08.10.2020;132,145
07.10.2020;132,702
06.10.2020;133,871
05.10.2020;131,865
02.10.2020;134,608
01.10.2020;135,146
30.09.2020;134,568
29.09.2020;135,038
28.09.2020;134,871
25.09.2020;135,186
24.09.2020;135,539
23.09.2020;135,896
22.09.2020;135,967
21.09.2020;136,303
18.09.2020;135,636
17.09.2020;135,586
16.09.2020;135,154
15.09.2020;135,474
14.09.2020;135,143
11.09.2020;136,801
10.09.2020;136,708
09.09.2020;136,678
08.09.2020;137,661
04.09.2020;136,258
03.09.2020;139,522
02.09.2020;137,882
01.09.2020;136,983
31.08.2020;135,669
28.08.2020;134,895
27.08.2020;134,999
26.08.2020;137,434
25.08.2020;137,932
24.08.2020;138,513
21.08.2020;138,254
20.08.2020;137,149
19.08.2020;135,963
18.08.2020;136,793
17.08.2020;136,251
14.08.2020;135,452
13.08.2020;136,221
12.08.2020;138,197
11.08.2020;139,158
10.08.2020;140,982
07.08.2020;141,704
06.08.2020;141,4
05.08.2020;141,099
04.08.2020;142,434
03.08.2020;141,564
31.07.2020;141,517
30.07.2020;142,229
29.07.2020;141,538
28.07.2020;140,428
27.07.2020;138,242
24.07.2020;139,088
23.07.2020;139,243
22.07.2020;138,388
21.07.2020;136,59
20.07.2020;136,634
17.07.2020;135,816
16.07.2020;134,595
15.07.2020;134,054
14.07.2020;133,904
13.07.2020;134,794
10.07.2020;133,918
09.07.2020;133,615
08.07.2020;131,224
07.07.2020;132,022
06.07.2020;130,408
02.07.2020;129,693
01.07.2020;129,501
30.06.2020;129,574
29.06.2020;130,61
26.06.2020;130,157
25.06.2020;128,551
24.06.2020;128,59
23.06.2020;127,433
22.06.2020;127,207
19.06.2020;129,064
18.06.2020;126,361
17.06.2020;125,357
16.06.2020;125,254
15.06.2020;126,156
12.06.2020;127,031
11.06.2020;129,248
10.06.2020;126,258
09.06.2020;124,167
08.06.2020;123,285
05.06.2020;121,709
04.06.2020;121,525
03.06.2020;122,754
02.06.2020;123,305
01.06.2020;124,045
29.05.2020;126,119
28.05.2020;125,026
27.05.2020;125,414
26.05.2020;124,171
22.05.2020;125,668
21.05.2020;127,018
20.05.2020;125,41
19.05.2020;125,238
18.05.2020;122,803
15.05.2020;125,881
14.05.2020;126,368
13.05.2020;125,063
12.05.2020;123,338
11.05.2020;122,918
08.05.2020;123,525
07.05.2020;125,069
06.05.2020;124,208
05.05.2020;124,982
04.05.2020;127,945
01.05.2020;128,738
30.04.2020;127,873
29.04.2020;128,164
28.04.2020;129,249
27.04.2020;128,398
24.04.2020;130,662
23.04.2020;130,363
22.04.2020;129,108
21.04.2020;130,808
20.04.2020;130,563
17.04.2020;129,114
16.04.2020;129,223
15.04.2020;129,395
14.04.2020;126,286
13.04.2020;122,605
09.04.2020;124,443
08.04.2020;123,789
07.04.2020;134,034
06.04.2020;130,469
03.04.2020;131,143
02.04.2020;132,701
01.04.2020;133,79
31.03.2020;134,928
30.03.2020;123,096
27.03.2020;125,975
26.03.2020;119,085
25.03.2020;118,295
24.03.2020;110,315
23.03.2020;106,154
20.03.2020;100,284
19.03.2020;95,463
